,,,Chi,Eng,Maths,CSD,LS,M1/2,X1,X2,X3,X4,Total,,,
,JS4006,UQ,4,5,4,A,,3,5,5,4,,24.5,,,
,JS4006,M,4,5,4,A,,4,5,4,4,,23,,,
,JS4006,LQ,4,4,3,A,,,5*,4,4,,23,,,
,JS4018,UQ,5**,4,4,A,,,5*,5,4,,30.7,,,
,JS4018,M,5**,3,5,A,,,5,4,4,,29.2,,,
,JS4018,LQ,5**,3,4,A,,,5*,4,3,,28.2,,,
,JS4020,UQ,5**,3,4,A,,,5,3,,,24,,,
JS4044,JS4020,M,4,3,3,A,,,5**,4,4,,23.5,,,
JS4056,JS4020,LQ,5*,4,4,A,,,4,3,3,,22,,,
JS4068,JS4022,UQ,5,3,5,A,,,5,4,3,,23.5,,,
JS4070,JS4022,M,4,4,5*,A,,,4,4,3,,23,,,
JS4082,JS4022,LQ,3,5,4,A,,,5,4,3,,22,,,
JS4094,JS4032,UQ,3,5*,5,A,,4,4,4,3,,28,,,
JS4100,JS4032,M,4,5*,3,A,,,5,4,,,27,,,
JS4109,JS4032,LQ,5,5*,3,A,,,4,3,,,26,,,
JS4111,JS4044,UQ,5*,3,4,A,,,5**,4,,,26.5,,,
JS4123,JS4044,M,4,5*,4,A,,,5*,3,,,25,,,
JS4136,JS4044,LQ,5**,3,4,A,,3,5,3,,,24,,,
JS4202,,UQ,5**,4,4,A,,,5**,4,,,29,,,
JS4214,,M,5*,4,4,A,,,5*,4,3,,26,,,
JS4226,,LQ,4,4,3,A,,,5*,5*,,,25,,,
JS4238,,UQ,4,5*,5,A,,,A,4,3,,27.5,,,
JS4240,,M,5,4,3,A,,,5*,5,,,25,,,
JS4252,,LQ,4,4,4,A,,,5*,4,3,,23,,,
JS4254,,UQ,5*,4,4,A,,,5,4,4,,24.5,,,
JS4264,,M,4,5**,3,A,,,4,4,,,23.5,,,
JS4276,,LQ,4,5,5,A,,,4,4,,,23,,,
JS4320,,UQ,4,4,5,A,,,5,5,4,,24.5,,,
JS4329,,M,4,5,4,A,,,4,4,,,21.5,,,
JS4331,,LQ,5,4,3,A,,,4,4,,,20.5,,,
JS4343,,UQ,4,5,5,A,,,5,5,4,,26,,,
JS4361,,M,3,5*,4,A,,4,5,4,3,,23.5,,,
JS4372,,LQ,5*,3,3,A,,,4,4,4,,22,,,
JS4386,,UQ,4,5,4,A,,,4,4,3,,21.5,,,
JS4408,,M,4,3,3,A,,,5*,4,,,21,,,
JS4412,,LQ,4,3,4,A,,,5,4,,,20.5,,,
JS4416,,UQ,5,5,3,A,,,5,4,4,,24.5,,,
JS4428,,M,5,5,4,A,,,4,4,4,,23,,,
JS4434,,LQ,4,5,5,A,,,4,4,,,23,,,
JS4446,,UQ,4,3,5,A,,5,5,4,,,24.5,,,
JS4458,,M,4,4,5,A,,5,4,3,,,24,,,
JS4460,,LQ,5,5,4,A,,,4,3,3,,23.375,,,
JS4462,,UQ,5,3,4,A,,,5**,5,,,26.5,,,
JS4468,,M,4,4,5,A,,,5*,5,2,,26,,,
JS4470,,LQ,4,4,5*,A,,5,4,4,,,24.5,,,
JS4501,,UQ,5**,5*,5*,A,,5,5**,5**,,,39.5,,,
JS4502,,M,4,5*,5*,A,,5*,5*,5*,5*,,35,,,
JS4513,,LQ,5*,5**,5,A,,,5*,5*,5,,35,,,
JS4525,,UQ,3,5,4,A,,,5*,4,3,,23.5,,,
JS4537,,M,5*,4,4,A,,,4,4,3,,23,,,
JS4542,,LQ,3,3,5,A,,,5,5,,,22.5,,,
JS4550,,UQ,4,3,5**,A,,5*,5*,5*,,,32.5,,,
JS4601,,M,4,4,5*,A,,5**,5*,5,,,32,,,
JS4648,,LQ,5**,4,5*,A,,5,5,4,4,,30.5,,,
JS4682,,UQ,5*,3,4,A,,,5*,5,,,26.5,,,
JS4690,,M,5,4,4,A,,,5*,5,,,26,,,
JS4719,,LQ,5,4,5,A,,,5,4,4,,24.5,,,
JS4725,,UQ,5,5*,5**,A,,5,5*,5,5,,52.5,,,
JS4733,,M,5,5*,5,A,,,5**,5*,5*,,51.75,,,
JS4750,,LQ,5,5*,5*,A,,5*,5*,5,4,,51,,,
JS4760,,UQ,5*,5*,5,A,,4,5*,5*,4,,33.5,,,
JS4801,,M,5*,5,5*,A,,,5*,5*,4,,33.5,,,
JS4812,,LQ,5,5,5,A,,,5**,5*,5,,32,,,
JS4824,,UQ,5,5*,4,A,,,5**,5,5,,40.25,,,
JS4836,,M,5*,5,4,A,,,5**,5,4,,39.5,,,
JS4838,,LQ,5*,5*,4,A,,3,5,4,,,38,,,
JS4848,,UQ,5,5*,5**,A,,5*,5**,5**,5*,,59.25,,,
JS4850,,M,3,5,5**,A,,5*,5**,5**,5,,56.25,,,
JS4858,,LQ,5*,5*,5**,A,,5*,5*,5,4,,55.5,,,
JS4862,,UQ,4,4,5**,A,,5,5*,5,,,30.5,,,
JS4874,,M,4,4,5*,A,,5,5*,5,,,29,,,
JS4886,,LQ,4,4,5*,A,,,5*,5,4,,27.5,,,
JS4892,,UQ,5,3,5*,A,,5,5,4,,,36.5,,,
JS4893,,M,3,3,5*,A,,5*,4,4,,,34,,,
JS4903,,LQ,4,4,5,A,,5,5,3,,,32.75,,,
,,UQ,4,4,5**,A,,,,5*,5,,5,,30.5,
,,M,3,4,5**,A,,,5*,5,4,,,,29,
,,LQ,3,4,5,A,,,,5*,5,,5,,27.5,
,,UQ,5**,5*,5,A,,,,5*,5,,,,42,
,,M,5**,4,5,A,,,,5*,5,,5,,40.5,
,,LQ,5**,4,5,A,,,,5**,5,,,,40.5,
,,UQ,4,5**,5*,,,4,4,5,4,,,,37.5,
,,M,5,5*,4,,,4,,5,5,,4,,34.5,
,,LQ,3,5*,4,A,,,3,5,5,,4,,33,
,,UQ,3,4,5**,A,,,5*,5*,5,,5,,53,
,,M,4,4,5*,A,,,5**,5,5,,,,50.75,
,,LQ,4,3,5*,A,,,5,5**,5*,,,,50.75,
,,UQ,4,4,5*,A,,,3,5,4,,,,24.5,
,,M,3,4,5,A,,,,5,4,,4,,23,
,,LQ,4,4,5,A,,,,4,4,,3,,21.5,
,,UQ,4,4,5,A,,,,5*,4,,4,,34.75,
,,M,4,3,4,A,,,,5*,4,,3,,29.5,
,,LQ,5*,3,3,A,,,,4,4,,4,,27.5,
,,UQ,,,,,,,,,,,,,,
,,M,4,3,5,A,,,,5,4,,4,,30.125,
,,LQ,4,4,4,A,,,,5,5,,3,,29.125,
,,UQ,3,4,5,A,,,,A,4,,3,,27.25,
,,M,5,4,5**,A,,,5,5,5,,4,,44.875,
,,LQ,4,5*,5,A,,,,5*,5*,,4,,42.25,
,,UQ,5*,4,5*,A,,,,5*,5,,,,40.25,
,,M,4,4,5*,A,,,5,5**,5*,,4,,54.25,
,,LQ,5,4,5*,A,,,5*,5*,5,,,,52.25,
,,UQ,3,4,5,A,,,5*,5*,5*,,4,,52,
,,M,4,4,5*,A,,,5,5*,5,,4,,46.625,
,,LQ,4,4,5,A,,,5*,5*,5,,,,45.625,
,,UQ,5*,4,5,A,,,5,5,5,,4,,44.5,
,,M,4,3,5,A,,,5,4,4,,,,30.5,
,,LQ,4,4,4,A,,,4,5,4,,3,,28.25,
,,UQ,4,3,4,A,,,4,5,4,,,,27.5,
,,M,4,3,5,A,,,5,5,4,,,,38.875,
,,LQ,3,3,5,A,,,,5,5,,4,,36.5,
,,UQ,4,4,4,A,,,,5,5,,4,,34.5,
,,M,5,4,5,A,,,4,4,4,,,,31.75,
,,LQ,3,3,4,A,,,,5*,5,,4,,30.25,
,,UQ,3,4,4,A,,,,5*,4,,,,29.5,
,,M,4,5,5,A,,,,5*,5,,5,,43.5,
,,LQ,4,5*,5,A,,,3,5,5,,4,,41.25,
,,UQ,5,4,4,A,,,,5*,5,,5,,39,
,,M,5,4,4,A,,,,4,4,,4,,29.5,
,,LQ,5,3,5,A,,,4,3,3,,,,28.75,
,,UQ,5*,4,4,A,,,,4,3,,3,,28,
,,M,5,4,5**,A,,,5*,5**,5*,,,,57.25,
,,LQ,5**,4,5*,A,,,5,5*,5*,,,,53.5,
,,UQ,5,4,5*,A,,,5,5*,5*,,5,,51.125,
,,M,4,4,5,A,,,,5*,4,,4,,34.75,
,,LQ,4,3,4,A,,,,5*,4,,3,,29.5,
,,UQ,5*,3,3,A,,,,4,4,,4,,27.5,
,,M,5,4,5*,A,,,5*,5*,5*,,4,,55,
,,LQ,3,4,5*,A,,,5*,5,5,,4,4,50.5,
,,UQ,4,4,5*,A,,,5,5,5,,4,,47.5,
,,M,4,5*,5*,A,,,5,5*,4,,,,46.5,
,,LQ,5,4,5,A,,,,5*,5*,,4,,38.75,
,,UQ,3,3,5*,A,,,4,5**,5,,4,,36.5,
,,M,5,3,5*,A,,,5,5,4,,,,36.5,
,,LQ,3,3,5*,A,,,5*,4,4,,,,34,
,,UQ,4,4,5,A,,,5,5,3,,,,32.75,
,,M,,,,,,,,,,,,,,
,,LQ,5*,5*,4,A,,,,5,4,,4,,34.5,
,,UQ,5,5*,4,A,,,,5,4,,4,,33,
,,M,4,5*,5,A,,,,5,4,,4,,33,
,,LQ,5,5*,4,A,,,,5**,5,,5,,40.25,
,,UQ,5*,5,4,A,,,,5**,5,,4,,39.5,
,,M,5*,5*,4,A,,,3,5,4,,,,38,
,,LQ,,5,5,5**,,A,,5**,5**,,5**,5*,A,38
,,UQ,,5**,5*,5,,A,,,5**,,5*,5*,,37
,,M,,5,5*,5*,,A,,5,5**,,5*,5*,,36
,,LQ,,5*,5**,5**,,A,,5**,5**,,5**,5**,,41.5
,,UQ,,5*,5**,5*,,A,,5**,5**,,5**,5**,,40.5
,,M,5*,5**,5*,A,,,,5**,5**,,5**,,40,
,,LQ,,5*,4,5,,A,,,5*,,5,4,,30.1
,,UQ,,5*,5,4,,A,,,5,,5,3,,28.6
,,M,,5*,4,5,,A,,,5,,4,4,,27.1
,,LQ,,5**,5,5,,A,,,5*,,5,4,,32
,,UQ,,5,4,5,,A,,,5**,,5,5,,30.5
,,M,,4,5,5*,,A,,,5*,,5*,3,,30.5
,,LQ,,3,5,4,,A,,,5*,,5,4,,26
,,UQ,,5**,3,3,,A,,,5,,4,3,,24
,,M,,5,4,5,,A,,,4,,4,4,,23
,,LQ,,5*,4,4,,A,,,5**,,5*,5,,32
,,UQ,,5*,4,4,,A,,,5*,,5,5,,29
,,M,,5,5,5,,A,,3,5*,,5,,,29
,,LQ,,4,5**,5,,A,,,5*,,5*,,,39.75
,,UQ,,4,5*,5*,,A,,,5*,,5,4,,38
,,M,,5*,5**,4,,A,,,5,,4,4,,38
,,LQ,,4,4,5**,,A,,5,5*,,5,,,30.5
,,UQ,,4,4,5*,,A,,5,5*,,5,,,29
,,M,,4,4,5*,,A,,,5*,,5,4,,27.5
,,LQ,,,,,,,,,,,,,,
,,UQ,,4,4,5,,A,,5,5,,4,,,38.25
,,M,,3,4,5,,A,,,5,,5,4,,35.5
,,LQ,,3,3,5,,A,,5,4,,4,,,34.25
,,UQ,,4,4,5,,A,,,5*,,5*,4,,51.5
,,M,,3,5,5,,A,,5,5,,4,,,45.25
,,LQ,,3,4,4,,A,,,5,,5,4,,43.25
,,UQ,,5,5,5**,,A,,5**,5*,,5*,,,57.75
,,M,,5*,5,5*,,A,,5*,5*,,5*,,,52.5
,,LQ,,4,5,5**,,A,,5*,5,,5,,,49.5
,,UQ,,4,4,5*,,A,,5**,5**,,5*,,,51.25
,,M,,3,4,5**,,A,,5**,5*,,4,,,47.5
,,LQ,,4,4,5*,,A,,5,5*,,5*,5,,45.25
,,UQ,,5,5*,5*,,A,,5,5*,,5,4,,44.5
,,M,,4,4,5*,,A,,5**,4,,4,,,43
,,LQ,,5,5,5*,,A,,5,5,,5,,,41.5
,,UQ,,5,5*,5**,,A,,5*,5**,,5**,5*,,59.25
,,M,,3,5,5**,,A,,5*,5**,,5**,5,,56.25
,,LQ,,5*,5*,5**,,A,,5*,5*,,5,4,,55.5
,,UQ,,4,4,5,,A,,,5*,,4,4,,34.75
,,M,,4,3,4,,A,,,5*,,4,3,,29.5
,,LQ,,5*,3,3,,A,,,4,,4,4,,27.5
,,UQ,,4,4,5*,,A,,5,5**,,5*,4,,54.25
,,M,,5,4,5*,,A,,5*,5*,,5,,,52.25
,,LQ,,3,4,5,,A,,5*,5*,,5*,4,,52
,,UQ,,4,4,5**,,A,,5,5*,,5,,,30.5
,,M,,4,4,5*,,A,,5,5*,,5,,,29
,,LQ,,4,4,5*,,A,,,5*,,5,4,,27.5
,,UQ,,5,4,5*,,A,,5*,5*,,5*,4,,55
,,M,,3,4,5*,,A,,5*,5,,5,4,4,50.5
,,LQ,,4,4,5*,,A,,5,5,,5,4,,47.5
,,UQ,,4,5*,5*,,A,,5,5*,,4,,,46.5
,,M,,5,4,5,,A,,,5*,,5*,4,,38.75
,,LQ,,3,3,5*,,A,,4,5**,,5,4,,36.5
,,UQ,,5,3,5*,,A,,5,5,,4,,,36.5
,,M,,3,3,5*,,A,,5*,4,,4,,,34
,,LQ,,4,4,5,,A,,5,5,,3,,,32.75
,,UQ,,,,,,,,,,,,,,
,,M,,5,4,3,,A,,,5*,,A,4,3,28.7
,,LQ,,4,5,3,,A,,,5**,,4,4,,27.65
,,UQ,,3,5*,5,,A,,,4,,4,4,,26.6
,,M,,4,4,5,,A,,,5*,,5*,5,,31
