Jupas No.,Mean,CHIN,ENGL,MATH,CSD,Elective 1,Elective 2,Elective 3,Elective 4
JS2020,21.04,5*,4,4,Attained,4,3,,
JS2020,21.04,4,3,4,Attained,4,4,4.0,
JS2025,19.5,4,3,4,Attained,4,4,4.0,
JS2025,19.5,3,3,4,Attained,5,4,3.0,
JS2060,19.87,3,3,5,Attained,4,4,3.0,
JS2060,19.87,3,4,4,Attained,4,4,,
JS2110,21.06,4,4,4,Attained,4,3,,
JS2110,21.06,3,3,5,Attained,4,4,3.0,
JS2120,21.12,5,4,4,Attained,3,3,2.0,
JS2120,21.12,4,4,3,Attained,4,4,,
JS2310,22.81,4,3,4,Attained,5*,4,,
JS2310,22.81,4,4,4,Attained,4,4,4.0,
JS2330,22.93,5,5,4,Attained,4,3,,
JS2330,22.93,3,5,4,Attained,5,4,3.0,
JS2340,16.75,3,3,4,Attained,4,3,3.0,
JS2340,16.75,4,4,3,Attained,3,3,,
JS2370,21.9,4,3,3,Attained,5.5,4,4.0,2.0
JS2370,21.9,3,3,4,Attained,4,4,4.0,
JS2410,31.4,5**,4,4,Attained,4,4,4.0,
JS2410,31.4,4,5,4,Attained,5,5,4.0,
JS2420,25.01,3,3,5,Attained,4,4,3.0,
JS2420,25.01,4,3,4,Attained,4,4,3.0,
JS2510,19.1,4,3,4,Attained,4,4,2.0,
JS2510,19.1,5,3,4,Attained,3,3,3.0,3.0
JS2610,24.11,4,3,4,Attained,5*,4,,
JS2610,24.11,4,4,3,Attained,4,4,,
JS2620,21.12,5*,4,3,Attained,4,4,,
JS2620,21.12,5,4,4,Attained,4,3,,
JS2660,25.17,5,4,4,Attained,4,4,,
JS2660,25.17,3,4,3,Attained,5*,5,,
JS2810,19.56,5,3,3,Attained,5**,3,,
JS2810,19.56,4,4,3,Attained,4,3,,
JS2910,19.57,4,3,4,Attained,4,4,3.0,
JS2910,19.57,4,3,4,Attained,4,4,2.0,
JS2920,18.29,4,4,4,Attained,4,3,2.0,
JS2920,18.29,3,4,4,Attained,4,4,3.0,
JS2930,18.83,5,3,4,Attained,4,3,,
JS2930,18.83,4,4,3,Attained,4,3,3.0,
JS2940,19.33,4,4,4,Attained,4,3,,
JS2940,19.33,4,3,4,Attained,4,4,,
JS2950,18.07,4,4,3,Attained,4,4,,
JS2950,18.07,4,3,4,Attained,4,3,3.0,
