Jupas code,Average HKDSE score,HKDSE Score with Subject Weighting
JS3060,178.3,178.0
JS3060,178.3,172.0
JS3250,166.6,164.5
JS3250,166.6,161.0
JS3140,203.3,195.0
JS3140,203.3,184.0
JS3150,211.0,208.0
JS3150,211.0,178.0
JS3011,200.6,196.0
JS3011,200.6,190.0
JS3100,167.5,163.0
JS3100,167.5,152.5
JS3110,180.9,176.5
JS3110,180.9,175.0
JS3320,194.7,193.0
JS3320,194.7,186.0
JS3120,226.1,220.0
JS3120,226.1,215.0
JS3868,203.5,193.0
JS3868,203.5,191.0
JS3020,180.8,179.0
JS3020,180.8,172.5
JS3569,188.2,176.0
JS3569,188.2,202.5
JS3170,201.7,195.0
JS3170,201.7,191.0
JS3240,169.8,169.5
JS3240,169.8,163.0
JS3050,164.6,160.5
JS3050,164.6,146.0
JS3910,191.0,187.5
JS3910,191.0,178.5
JS3070,169.3,168.0
JS3070,169.3,164.5
JS3310,160.5,156.0
JS3310,160.5,155.5
JS3180,207.7,201.0
JS3180,207.7,195.0
JS3330,242.2,242.0
JS3330,242.2,231.5
JS3571,146.4,146.0
JS3571,146.4,143.0
JS3080,175.2,174.5
JS3080,175.2,169.0
JS3741,195.9,191.0
JS3741,195.9,186.0
JS3478,300.9,299.0
JS3478,300.9,290.0
JS3337,212.5,203.5
JS3337,212.5,203.0
JS3648,216.7,213.5
JS3648,216.7,208.0
JS3624,281.8,293.0
JS3624,281.8,273.5
JS3290,284.0,275.0
JS3290,284.0,275.0
JS3030,205.3,208.0
JS3030,205.3,190.0
JS3636,294.7,293.0
JS3636,294.7,284.0
JS3557,148.3,148.0
JS3557,148.3,143.5
JS3612,325.8,320.0
JS3612,325.8,318.5
JS3130,199.5,199.5
JS3130,199.5,191.0
