Year,Band A,Band B,Band C,Band D,Band E,Total,JUPAS,Type,School,Quota
2025.0,84.0,173.0,281.0,394.0,358.0,1290.0,JS1000,Application,CityUHK,10
2024.0,81.0,151.0,309.0,390.0,323.0,1254.0,JS1000,Application,CityUHK,10
2023.0,99.0,141.0,284.0,336.0,329.0,1189.0,JS1000,Application,CityUHK,10
2022.0,95.0,159.0,311.0,382.0,307.0,1254.0,JS1000,Application,CityUHK,10
2021.0,115.0,178.0,279.0,351.0,297.0,1220.0,JS1000,Application,CityUHK,10
2020.0,113.0,145.0,248.0,334.0,289.0,1129.0,JS1000,Application,CityUHK,10
2019.0,103.0,170.0,284.0,348.0,336.0,1241.0,JS1000,Application,CityUHK,10
2018.0,85.0,175.0,260.0,319.0,301.0,1140.0,JS1000,Application,CityUHK,10
2017.0,121.0,191.0,276.0,325.0,317.0,1230.0,JS1000,Application,CityUHK,10
2016.0,142.0,192.0,308.0,466.0,388.0,1496.0,JS1000,Application,CityUHK,10
2025.0,6.0,0.0,1.0,0.0,0.0,7.0,JS1000,Offer,CityUHK,10
2024.0,2.0,0.0,0.0,0.0,0.0,2.0,JS1000,Offer,CityUHK,10
2023.0,3.0,0.0,0.0,0.0,0.0,3.0,JS1000,Offer,CityUHK,10
2022.0,2.0,1.0,1.0,0.0,0.0,4.0,JS1000,Offer,CityUHK,10
2021.0,10.0,1.0,0.0,1.0,0.0,12.0,JS1000,Offer,CityUHK,10
2020.0,7.0,0.0,1.0,1.0,0.0,9.0,JS1000,Offer,CityUHK,10
2019.0,7.0,1.0,0.0,0.0,0.0,8.0,JS1000,Offer,CityUHK,10
2018.0,6.0,1.0,0.0,0.0,0.0,7.0,JS1000,Offer,CityUHK,10
2017.0,7.0,1.0,0.0,0.0,0.0,8.0,JS1000,Offer,CityUHK,10
2016.0,11.0,0.0,0.0,0.0,0.0,11.0,JS1000,Offer,CityUHK,10
2025.0,141.0,291.0,385.0,451.0,457.0,1725.0,JS1001,Application,CityUHK,15
2024.0,100.0,292.0,443.0,564.0,450.0,1849.0,JS1001,Application,CityUHK,15
2023.0,116.0,375.0,487.0,589.0,453.0,2020.0,JS1001,Application,CityUHK,15
2022.0,191.0,435.0,571.0,668.0,572.0,2437.0,JS1001,Application,CityUHK,15
2021.0,154.0,232.0,409.0,498.0,433.0,1726.0,JS1001,Application,CityUHK,15
2020.0,158.0,322.0,438.0,608.0,490.0,2016.0,JS1001,Application,CityUHK,15
2019.0,207.0,422.0,553.0,698.0,555.0,2435.0,JS1001,Application,CityUHK,15
2018.0,177.0,377.0,531.0,727.0,589.0,2401.0,JS1001,Application,CityUHK,15
2017.0,210.0,388.0,528.0,725.0,658.0,2509.0,JS1001,Application,CityUHK,15
2016.0,239.0,367.0,596.0,855.0,772.0,2829.0,JS1001,Application,CityUHK,15
2025.0,6.0,5.0,1.0,1.0,0.0,13.0,JS1001,Offer,CityUHK,15
2024.0,1.0,3.0,0.0,0.0,0.0,4.0,JS1001,Offer,CityUHK,15
2023.0,2.0,1.0,0.0,0.0,1.0,4.0,JS1001,Offer,CityUHK,15
2022.0,2.0,1.0,0.0,0.0,0.0,3.0,JS1001,Offer,CityUHK,15
