JUPAS Catalogue No.,Institution / Scheme,Funding Category,Programme Short Name,Programme Full Title,chinese_name,url
JS1000,CityUHK,UGC-funded,BScCFFT,BSc Computational Finance and Financial Technology (streams: Computational Finance / Financial Technology),理學士(計算金融及金融科技) (專修：計算金融 / 金融科技),/en/programme/cityuhk/JS1000
JS1001,CityUHK,UGC-funded,BBAGBU,BBA Global Business (Features: 3 Exchanges/Joint Bachelor’s Degree Program with Columbia University (US)/Overseas Summer School & Study Tour/Business Consultancy Project/Scholarship and Sponsorship),工商管理學士(環球商業) (特點: 三次海外交流 / 美國哥倫比亞大學雙聯學士學位 / 海外暑期及遊學課程 / 商業諮詢課程 / 獎學金及資助),/en/programme/cityuhk/JS1001
JS1002,CityUHK,UGC-funded,BBAAC,BBA Accountancy (Streams: Professional Accounting / ESG and Tech),工商管理學士(會計) (專修: 專業會計 / 環境，社會，治理和科技),/en/programme/cityuhk/JS1002
JS1005,CityUHK,UGC-funded,BBAMGMT,BBA Management (Streams: Human Resources Management / Strategy and International Management),工商管理學士 (管理學) (專修 : 人力資源管理 / 策略及國際管理 ),/en/programme/cityuhk/JS1005
JS1007,CityUHK,UGC-funded,BBAMKT,BBA Marketing (Streams: Global Marketing / Marketing Analytics),工商管理學士(市場學) (專修: 環球市場營銷 / 營銷數據分析),/en/programme/cityuhk/JS1007
JS1012,CityUHK,UGC-funded,EF,Economics and Finance (Majors: BBA Business Economics / BBA Finance),經濟及金融 [主修: 工商管理學士(商業經濟) / 工商管理學士(金融)],/en/programme/cityuhk/JS1012
JS1013,CityUHK,UGC-funded,BBABE,BBA Business Economics (Features: Economic Theory / International Economics / Economic and Business Forecasting / Quantitative Analysis),工商管理學士(商業經濟) (特點: 經濟理論 / 國際經濟 / 經濟與商業預測 / 定量分析),/en/programme/cityuhk/JS1013
JS1014,CityUHK,UGC-funded,BBAFIN,BBA Finance (Features: Investment Analysis / Financial Markets / Corporate Finance / Risk Management / Trading Room Workshop),工商管理學士(金融) (特點: 投資分析 / 金融市場 / 公司金融/ 風險管理 / 交易室工作坊),/en/programme/cityuhk/JS1014
JS1017,CityUHK,UGC-funded,IIS,Intelligent Information Systems [Majors: BBA Global Business Systems Management / BBA Artificial Intelligence in Business],智能資訊系統學 [主修: 工商管理學士(環球商業系統管理) 、工商管理學士(商業人工智能)],/en/programme/cityuhk/JS1017
JS1018,CityUHK,UGC-funded,BBAGBSM,BBA Global Business Systems Management (Features: Intelligent Technologies / Global Business / Study Exchange),工商管理學士(環球商業系統管理) (特點: 智能科技 / 環球商業 / 海外及内地交流),/en/programme/cityuhk/JS1018
JS1019,CityUHK,UGC-funded,BBAAIB,BBA Artificial Intelligence in Business (Streams: Business Intelligence / Information Systems Auditing / Internet Services and Social Networks / Data Informatics),工商管理學士 (商業人工智能) (專修: 商務智能 / 信息系統審計 / 互聯網服務及社交網絡 / 數據信息學),/en/programme/cityuhk/JS1019
JS1026,CityUHK,UGC-funded,BBABDAN,BBA Business Decision Analytics (Streams: Decision Analytics / Data Informatics),工商管理學士(商業決策分析) (專修: 決策分析學 / 數據信息學),/en/programme/cityuhk/JS1026
JS1027,CityUHK,UGC-funded,BBAGOM,BBA Global Operations Management (Features: Supply Chain Management / Operations Efficiency / Process Improvement / Operations Analytics / Resource Planning),工商管理學士(環球營運管理) (特點: 供應鏈管理 / 營運效率 / 流程改善 / 營運分析 / 資源規劃),/en/programme/cityuhk/JS1027
JS1040,CityUHK,UGC-funded,CREATE,Creative Arts and Technology Excellence (CREATE) (Options: Creative Media (School-based)/ BA Creative Media / BSc Creative Media / BAS New Media),卓越創藝與科技課程 [選項: 創意媒體(校本課程)、 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)],/en/programme/cityuhk/JS1040
JS1041,CityUHK,UGC-funded,SCM,Creative Media (Majors: BA Creative Media / BSc Creative Media / BAS New Media),創意媒體 [主修: 文學士(創意媒體) / 理學士(創意媒體) / 文理學士(新媒體)],/en/programme/cityuhk/JS1041
JS1042,CityUHK,UGC-funded,BACM,BA Creative Media (Features: Animation / Cinema & Photography / Critical Theory & Practices / Game & Playable Media / New Media Art / Sound Art),文學士(創意媒體) (特點: 動畫 / 電影及攝影 / 批判理論及實踐 / 遊戲及可玩媒體 / 新媒體藝術 / 聲音藝術),/en/programme/cityuhk/JS1042
JS1043,CityUHK,UGC-funded,BScCM,BSc Creative Media (Features: Combination of Creative Media and Computer Science Courses / Animation / Games / Installation / Interactivity),理學士(創意媒體) (特點: 結合創意媒體及電腦科學課程 / 動畫 / 遊戲 / 裝置藝術 / 互動媒體),/en/programme/cityuhk/JS1043
JS1044,CityUHK,UGC-funded,BAS,BAS New Media (Features: Media Art / Robotics & AI / Art & Technology / Materials & Digital Fabrication),文理學士(新媒體) (特點: 媒體藝術 / 機械人學及人工智能 / 藝術及科技 / 物料及數位製造),/en/programme/cityuhk/JS1044
JS1050,CityUHK,UGC-funded,INSPIRE,"International Sustainability Programme for Innovation, Research & Entrepreneurship(INSPIRE) (Majors: BEng Energy Science & Engineering/BEng Environmental Science & Engineering +Features: Global Focus)",環球可持續發展科創課程 [主修: 工學士(能源科學及工程學) / 工學士(環境科學及工程學)＋特點：環球視野],/en/programme/cityuhk/JS1050
JS1051,CityUHK,UGC-funded,SEE,Energy and Environment (Majors: BEng Energy Science and Engineering / BEng Environmental Science and Engineering),能源及環境學 [主修: 工學士(能源科學及工程學) / 工學士(環境科學及工程學)],/en/programme/cityuhk/JS1051
