JUPAS Code,Institution,Name (EN),Name (ZH),Formula 2025,Weights 2025 (Raw),Min Chi,Min Eng,Min Math,Min CSD,2025 Median,2025 LQ,2025 UQ
JS1211,CityUHK,BEng Biomedical Engineering (Features: Medical Technology / Bioinstrumentation / Cell and Tissue Engineering / Biomedical Robotics),工學士(生物醫學工程) (特點: 醫療技術 / 生物儀器 / 細胞和組織工程 / 醫療機器人),"Best 5 subjects (If a student takes both Mathematics and M1/M2, only one subject will be included)","English Language (x2.0), Mathematics (Compulsory Part) (x2.0), Biology (x2.0), Chemistry (x2.0), M1 (Calculus and Statistics) (x2.0), M2 (Algebra and Calculus) (x2.0), Physics (x2.0)",3,3,2,A,39.0,38.0,
JS1300,CityUHK,Integrative Bioscience & Bioengineering Programme (Bio3) (Features: Free Choice of Major / Overseas Research Opportunities / Interdisciplinary),綜合生物科學與生物工程課程 (特點: 自主選擇主修學科 / 海外頂尖院校研究機會 / 跨學科),3 core + 2 elective subjects,"English Language (x2.0), Mathematics (Compulsory Part) (x1.5), Business, Accounting and Financial Studies (x1.5), Business, Accounting and Financial Studies (Accounting) (x1.5), Business, Accounting and Financial Studies (Business Management) (x1.5), Design and Applied Technology (x1.5), Information and Communication Technology (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5), Physics (x1.5), Biology (x2.0), Chemistry (x2.0)",3,3,3,A,,,
JS1805,CityUHK,Biomedical Sciences (Majors: BSc Biological Sciences / BSc Biomedical Sciences),生物醫學 [主修: 理學士(生物科學) / 理學士(生物醫學)],3 Core + 2 Elective Subjects,"English Language (x2.0), Mathematics (Compulsory Part) (x1.5), Business, Accounting and Financial Studies (x1.5), Business, Accounting and Financial Studies (Accounting) (x1.5), Business, Accounting and Financial Studies (Business Management) (x1.5), Design and Applied Technology (x1.5), Information and Communication Technology (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5), Physics (x1.5), Biology (x2.0), Chemistry (x2.0)",3,3,3,A,38.5,37.5,
JS1806,CityUHK,"BSc Biological Sciences (Features: Bioinformatics, Biochemistry, Genetics, Cellular & Molecular Biology, Immunology / Research Rotation Projects for Hands-on Experience)",理學士(生物科學) (特點: 生物資訊學、生物化學、遺傳學、細胞與分子生物學、免疫學 / 參與不同研究項目提供實踐經驗),3 core + 2 elective subjects,"English Language (x2.0), Mathematics (Compulsory Part) (x1.5), Business, Accounting and Financial Studies (x1.5), Business, Accounting and Financial Studies (Accounting) (x1.5), Business, Accounting and Financial Studies (Business Management) (x1.5), Design and Applied Technology (x1.5), Information and Communication Technology (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5), Physics (x1.5), Biology (x2.0), Chemistry (x2.0)",3,3,3,A,35.5,35.0,
JS1807,CityUHK,"BSc Biomedical Sciences (Features: Clinical Chemistry, Hematology, Microbiology and Pathology / Clinical or Industrial Attachment / Intensive Laboratory Experience)",理學士(生物醫學) (特點: 臨床化學、血液學、微生物學和病理學 / 臨床實習 / 密集實驗室經驗),3 Core + 2 Elective Subjects,"English Language (x2.0), Mathematics (Compulsory Part) (x1.5), Business, Accounting and Financial Studies (x1.5), Business, Accounting and Financial Studies (Accounting) (x1.5), Business, Accounting and Financial Studies (Business Management) (x1.5), Design and Applied Technology (x1.5), Information and Communication Technology (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5), Physics (x1.5), Biology (x2.0), Chemistry (x2.0)",3,3,3,A,45.5,43.0,
JS1000,CityUHK,BSc Computational Finance and Financial Technology (streams: Computational Finance / Financial Technology),理學士(計算金融及金融科技) (專修：計算金融 / 金融科技),3 core + 2 elective subjects,,3,3,4,A,24.5,23.5,
JS1001,CityUHK,BBA Global Business (Features: 3 Exchanges/Joint Bachelor’s Degree Program with Columbia University (US)/Overseas Summer School & Study Tour/Business Consultancy Project/Scholarship and Sponsorship),工商管理學士(環球商業) (特點: 三次海外交流 / 美國哥倫比亞大學雙聯學士學位 / 海外暑期及遊學課程 / 商業諮詢課程 / 獎學金及資助),3 core + 2 elective subjects,English Language (x1.5),3,3,3,A,29.5,28.0,
JS1002,CityUHK,BBA Accountancy (Streams: Professional Accounting / ESG and Tech),工商管理學士(會計) (專修: 專業會計 / 環境，社會，治理和科技),Best 5 subjects (include Mathematics),,3,3,3,A,22.0,21.5,
JS1005,CityUHK,BBA Management (Streams: Human Resources Management / Strategy and International Management),工商管理學士 (管理學) (專修 : 人力資源管理 / 策略及國際管理 ),Best 5 subjects (include Mathematics),,3,3,3,A,22.0,21.5,
JS1007,CityUHK,BBA Marketing (Streams: Global Marketing / Marketing Analytics),工商管理學士(市場學) (專修: 環球市場營銷 / 營銷數據分析),3 core + 2 elective subjects,English Language (x1.5),3,3,3,A,24.5,23.5,
JS1012,CityUHK,Economics and Finance (Majors: BBA Business Economics / BBA Finance),經濟及金融 [主修: 工商管理學士(商業經濟) / 工商管理學士(金融)],Best 5 subjects (include Mathematics),,3,3,3,A,23.0,22.5,
JS1017,CityUHK,Intelligent Information Systems [Majors: BBA Global Business Systems Management / BBA Artificial Intelligence in Business],智能資訊系統學 [主修: 工商管理學士(環球商業系統管理) 、工商管理學士(商業人工智能)],3 core + 2 elective subjects,,3,3,3,A,21.0,20.5,
JS1018,CityUHK,BBA Global Business Systems Management (Features: Intelligent Technologies / Global Business / Study Exchange),工商管理學士(環球商業系統管理) (特點: 智能科技 / 環球商業 / 海外及内地交流),3 core + 2 elective subjects,,3,3,3,A,24.0,23.5,
JS1019,CityUHK,BBA Artificial Intelligence in Business (Streams: Business Intelligence / Information Systems Auditing / Internet Services and Social Networks / Data Informatics),工商管理學士 (商業人工智能) (專修: 商務智能 / 信息系統審計 / 互聯網服務及社交網絡 / 數據信息學),3 core + 2 elective subjects,,3,3,3,A,21.0,21.0,
JS1026,CityUHK,BBA Business Decision Analytics (Streams: Decision Analytics / Data Informatics),工商管理學士(商業決策分析) (專修: 決策分析學 / 數據信息學),3 core + 2 elective subjects,,3,3,3,A,21.5,21.0,
JS1027,CityUHK,BBA Global Operations Management (Features: Supply Chain Management / Operations Efficiency / Process Improvement / Operations Analytics / Resource Planning),工商管理學士(環球營運管理) (特點: 供應鏈管理 / 營運效率 / 流程改善 / 營運分析 / 資源規劃),3 core + 2 elective subjects,,3,3,3,A,21.5,21.0,
JS1052,CityUHK,"BEng Environmental Science and Engineering and BBA Finance (Double Degree; Features: Environmental, Social & Governance (ESG) / Green Finance / Environmental Technology / Interdisciplinary Education)",工學士(環境科學及工程學)與工商管理學士(金融)[雙學位；特點：環境、社會和管治 / 綠色金融 / 環保技術 / 跨學科教育],"Best 5 subjects (include English, Mathematics and one subject from Biology, Chemistry or Physics)","English Language (x2.0), Mathematics (Compulsory Part) (x2.5), Biology (x1.5), Chemistry (x1.5), Physics (x1.5), Geography (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5)",3,3,3,A,40.0,39.5,
JS1053,CityUHK,"BSc Environment and Sustainable Business (Features: Environmental Science / Business Sustainability / Environmental, Social & Governance (ESG))",理學士(環境及可持續發展商業) [特點：環境科學 / 商業可持續發展 / 環境、社會和管治],"Best 5 subjects (include English, Mathematics and one subject from Biology, Chemistry or Physics)","English Language (x2.0), Mathematics (Compulsory Part) (x2.5), Biology (x1.5), Chemistry (x1.5), Physics (x1.5), Geography (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5), Business, Accounting and Financial Studies (x2.5), Business, Accounting and Financial Studies (Accounting) (x2.5), Business, Accounting and Financial Studies (Business Management) (x2.5), Economics (x2.5)",3,3,3,A,40.0,39.5,
JS1062,CityUHK,Bachelor of Laws and BBA Accountancy (Double Degree),法律學學士與工商管理學士(會計) (雙學位),Best 5 subjects (include English),English Language (x1.5),3,5,3,A,29.0,25.0,
JS1013,CityUHK,BBA Business Economics (Features: Economic Theory / International Economics / Economic and Business Forecasting / Quantitative Analysis),工商管理學士(商業經濟) (特點: 經濟理論 / 國際經濟 / 經濟與商業預測 / 定量分析),Best 5 subjects (include Mathematics),,3,3,3,A,22.0,21.5,
JS1014,CityUHK,BBA Finance (Features: Investment Analysis / Financial Markets / Corporate Finance / Risk Management / Trading Room Workshop),工商管理學士(金融) (特點: 投資分析 / 金融市場 / 公司金融/ 風險管理 / 交易室工作坊),Best 5 subjects (include Mathematics),,3,3,3,A,21.5,21.5,
JS1221,CityUHK,BSc Computer Science and BSc Computational Finance and Financial Technology(Double Degree;Features:Corporate Accounting & Economics/Computational Finance/Advanced Statistics/Financial Technologies),理學士（計算機科學）與理學士（計算金融及金融科技）(雙學位；特點：企業會計與經濟 / 計算金融 / 高階統計 / 建模與演算法 / 金融科技軟件工程),Best 5 subjects,,3,3,4,A,23.0,22.0,
JS1070,CityUHK,"AI, Computing and Transformation (ACT) (Features: Free Choice of Major / One-to-One Advisor / Elite Work Placement / Executive Mentor Scheme / Premium Overseas Exchange / Internship Exchange)",人工智能 ･ 計算 ･ 突破課程(特點: 自由選擇學院專業學科 / 一對一專業導師 / 精英學生實習培訓 / 專業導師指導計劃 / 頂尖海外大學交流),3 core + 2 elective subjects,"English Language (x2.0), Mathematics (Compulsory Part) (x2.0)",3,3,3,A,31.0,30.0,
JS1071,CityUHK,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),數據科學 [主修：理學士 (數據科學) / 理學士 (數據與系統工程)],3 core + 2 elective subjects,"Mathematics (Compulsory Part) (x2.0), English Language (x1.5)",3,3,3,A,27.5,27.5,
JS1072,CityUHK,BSc Data Science (Features: Data Science / Machine Learning / Data Mining / Big Data Analysis),理學士(數據科學) (特點: 數據科學 / 機器學習 / 數據挖掘 / 大數據分析),3 core + 2 elective subjects,"Mathematics (Compulsory Part) (x2.0), English Language (x1.5)",3,3,3,A,29.0,28.5,
JS1074,CityUHK,BSc Data and Systems Engineering (Features: Data Science / FinTech & Decision Analytics / Industrial AI / Smart City),理學士(數據與系統工程) (特點: 數據科學 / 金融科技 / 工業人工智能 / 智慧城市),3 core + 2 elective subjects,"Mathematics (Compulsory Part) (x2.0), English Language (x1.5)",3,3,3,A,28.0,27.5,
JS1204,CityUHK,BSc Computer Science (Streams: Artificial Intelligence / Cybersecurity / Data Science / Multimedia Computing / Software Engineering and Project Management),理學士(計算機科學) (專修: 人工智能 / 網絡安全 / 數據科學 / 多媒體計算 / 軟件工程與項目管理),Best 5 subjects,,3,3,3,A,23.0,22.0,
JS1218,CityUHK,BSc Cybersecurity (Features: System Security / Software Security / Cryptography / Privacy-Enhancing Technologies / Cyber Risk Management),理學士 (網絡安全) (特點: 系統安全 / 軟件安全 / 密碼學 / 隱私增強技術 / 網絡風險管理),Best 5 subjects,,3,3,3,A,20.5,20.5,
JS1201,CityUHK,Architecture and Civil Engineering (Majors: BEng Architectural Engineering / BEng Civil Engineering / BSc Architecture and Surveying),建築學及土木工程學 [主修:工學士(建築工程) / 工學士(土木工程) / 理學士(建築學及測量學)],Best 5 subjects (include English),"Chinese Language (x1.5), English Language (x2.5), Mathematics (Compulsory Part) (x2.5), M1 (Calculus and Statistics) (x2.5), M2 (Algebra and Calculus) (x2.5), Physics (x2.5)",3,3,3,A,43.5,42.5,
JS1205,CityUHK,Electrical Engineering (Majors: BEng Computer and Data Engineering / BEng Electronic and Electrical Engineering / BEng Information Engineering / BEng Microelectronics Engineering),電機工程學 [主修: 工學士(電子計算機及數據工程學) ／工學士(電子及電機工程學) ／ 工學士(資訊工程學) ／ 工學士(微電子工程學)],Best 5 subjects (include English and Mathematics),"English Language (x2.0), Mathematics (Compulsory Part) (x2.0), Biology (x1.5), Chemistry (x1.5), Information and Communication Technology (x2.0), M1 (Calculus and Statistics) (x2.0), M2 (Algebra and Calculus) (x2.0), Physics (x2.0)",3,3,3,A,39.0,37.0,
JS1207,CityUHK,Mechanical Engineering (Majors: BEng Aerospace Engineering / BEng Mechanical Engineering / BEng Nuclear and Risk Engineering),機械工程學 [主修: 工學士(航空航天工程) / 工學士(機械工程) / 工學士(核子及風險工程)],Best 5 subjects (include Mathematics),"English Language (x2.0), Mathematics (Compulsory Part) (x2.0), Physics (x2.0), Chemistry (x1.5), Design and Applied Technology (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5)",3,3,2,A,34.5,34.0,
